state,ecigarette_use,mm,disp,rm,rm_disp,agr_mm,agr_disp,agr_rm,agr_rm_disp,StateFIPS,lower_bound,upper_bound,pop_total,mid_point,cases_per_million
AK,3.5,1,1,1,1,1,1,1,1,2,0,0,739795,0,0
AL,4.9,0,0,0,0,0,0,0,0,1,1,9,4874747,5,1.0256943
AR,5.7,1,0,0,0,1,1,0,0,5,10,49,3004279,29.5,9.8193274
AZ,5.3,1,1,0,0,1,1,0,0,4,10,49,7016270,29.5,4.2045131
CA,3,1,1,1,1,1,1,1,1,6,100,149,39536652,124.5,3.1489768
CO,5.3,1,1,1,1,1,1,1,1,8,1,9,5607154,5,.89171797
CT,3.2,1,1,0,0,1,1,0,0,9,10,49,3588184,29.5,8.2214289
DC,2.3,1,1,1,0,1,1,1,0,11,1,9,693972,5,7.2049017
DE,4.8,1,1,0,0,1,1,0,0,10,10,49,961939,29.5,30.667225
FL,4.3,1,0,0,0,1,0,0,0,12,50,99,20984400,74.5,3.5502565
GA,4.4,0,0,0,0,0,0,0,0,13,10,49,10429379,29.5,2.8285482
HI,4.7,1,1,0,0,1,1,0,0,15,1,9,1427538,5,3.5025337
IA,4,0,0,0,0,0,0,0,0,19,10,49,3145711,29.5,9.3778477
ID,4.6,0,0,0,0,0,0,0,0,16,1,9,1716943,5,2.9121525
IL,4.4,1,1,0,0,1,1,0,0,17,100,149,12802023,124.5,9.7250252
IN,6,0,0,0,0,0,0,0,0,18,50,99,6666818,74.5,11.174747
KS,4.6,0,0,0,0,0,0,0,0,20,10,49,2913123,29.5,10.126589
KY,6.1,0,0,0,0,0,0,0,0,21,1,9,4454189,5,1.1225388
LA,4.5,1,0,0,0,1,1,0,0,22,10,49,4684333,29.5,6.2975883
MA,3.3,1,1,1,1,1,1,1,1,25,10,49,6859819,29.5,4.300405
MD,3.3,1,1,0,0,1,1,0,0,24,10,49,6052177,29.5,4.874279
ME,4.1,1,1,1,0,1,1,1,0,23,1,9,1335907,5,3.7427754
MI,4.9,1,1,1,0,1,1,1,0,26,10,49,9962311,29.5,2.9611604
MN,3.7,1,1,0,0,1,1,0,0,27,50,99,5576606,74.5,13.35938
MO,5.2,1,0,0,0,1,0,0,0,29,10,49,6113532,29.5,4.8253613
MS,4.9,0,0,0,0,0,0,0,0,28,1,9,2984100,5,1.6755471
MT,3.9,1,1,0,0,1,1,0,0,30,1,9,1050493,5,4.7596698
NC,4.6,0,0,0,0,0,0,0,0,37,10,49,10273419,29.5,2.8714881
ND,4.3,1,0,0,0,1,1,0,0,38,10,49,755393,29.5,39.052521
NE,3.8,0,0,0,0,0,0,0,0,31,10,49,1920076,29.5,15.363976
NH,4.6,1,1,0,0,1,1,0,0,33,1,9,1342795,5,3.7235765
NJ,4.4,1,1,0,0,1,1,0,0,34,10,49,9005644,29.5,3.2757235
NM,4.9,1,1,0,0,1,1,0,0,35,10,49,2088070,29.5,14.127879
NV,5.4,1,1,1,1,1,1,1,1,32,1,9,2998039,5,1.6677568
NY,3.8,1,1,0,0,1,1,0,0,36,50,99,19849400,74.5,3.753262
OH,5.3,1,0,0,0,1,1,0,0,39,10,49,11658609,29.5,2.530319
OK,7.1,1,1,0,0,1,1,0,0,40,1,9,3930864,5,1.2719849
OR,4.4,1,1,1,1,1,1,1,1,41,1,9,4142776,5,1.2069201
PA,4.7,1,1,0,0,1,1,0,0,42,50,99,12805537,74.5,5.8177958
RI,4.9,1,1,0,0,1,1,0,0,44,1,9,1059639,5,4.7185884
SC,4.1,0,0,0,0,0,0,0,0,45,10,49,5024369,29.5,5.8713841
SD,3.9,0,0,0,0,0,0,0,0,46,10,49,869666,29.5,33.92107
TN,5.9,0,0,0,0,0,0,0,0,47,50,99,6715984,74.5,11.092938
TX,4.7,0,0,0,0,0,0,0,0,48,50,99,28304596,74.5,2.6320813
UT,5.1,1,0,0,0,1,0,0,0,49,50,99,3101833,74.5,24.018057
VA,4.9,0,0,0,0,0,0,0,0,51,50,99,8470020,74.5,8.7957287
VT,3.1,1,1,1,0,1,1,1,0,50,1,9,623657,5,8.0172272
WA,4.3,1,1,1,1,1,1,1,1,53,1,9,7405743,5,.67515171
WI,4.3,0,0,0,0,0,0,0,0,55,50,99,5795483,74.5,12.854838
WV,5.7,0,0,0,0,1,0,0,0,54,1,9,1815857,5,2.7535207
WY,5.8,0,0,0,0,0,0,0,0,56,1,9,579315,5,8.6308832
